Link,Location,Tresolution,ExtFormat,Inden,DateDataForm,Extension,FormatLink,Note
ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/,africa_,dekad/,bils/,v2p0chirps,yyyydd,.tar.gz,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/africa_dekad/bils/v2p0chirpsyyyydd.tar.gz ,Days are from 1 to 36
ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/,africa_,monthly/,bils/,v2p0chirps,yyyymm,.tar.gz,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/africa_monthly/bils/v2p0chirpsyyyymm.tar.gz ,yyyymm
ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/,africa_,pentad/,bils/,v2p0chirps,yyyydd,.tar.gz,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/africa_pentad/bils/v2p0chirpsyyyydd.tar.gz ,Days are from 1 to 72
ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/,africa_,daily/,bils/p05/,yyyy/v2p0chirps,yyyymmdd,.tar.gz,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/africa_daily/bils/p05/yyyy/v2p0chirpsyyyymmdd.tar.gz ,yyyymmdd
ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/,africa_,daily/,bils/p25/,yyyy/v2p0chirps,yyyymmdd,.tar.gz,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/africa_daily/bils/p25/yyyy/v2p0chirpsyyyymmdd.tar.gz ,yyyymmdd
ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/,africa_,daily/,old.bils/p05/,yyyy/v2p0chirps,yyyymmdd,.tar.gz,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/africa_daily/old.bils/p05/yyyy/v2p0chirpsyyyymmdd.tar.gz ,yyyymmdd
ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/,africa_,daily/,old.bils/p25/,yyyy/v2p0chirps,yyyymmdd,.tar.gz,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/africa_daily/old.bils/p25/yyyy/v2p0chirpsyyyymmdd.tar.gz ,yyyymmdd
ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/,africa_,daily/,old.tifs/p05/,yyyy/chirps-v2.0,.yyyy.mm.dd,.tif.gz,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/africa_daily/old.tifs/p05/yyyy/chirps-v2.0.yyyy.mm.dd.tif.gz ,yyyy.mm.dd
ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/,africa_,daily/,old.tifs/p25/,yyyy/chirps-v2.0,.yyyy.mm.dd,.tif.gz,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/africa_daily/old.tifs/p25/yyyy/chirps-v2.0.yyyy.mm.dd.tif.gz ,yyyy.mm.dd
ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/,africa_,dekad/,pngs/,chirps-v2.0.dekad,.yyyy.mm.d,.png,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/africa_dekad/pngs/chirps-v2.0.dekad.yyyy.mm.d.png ,Days are from 1 to 3
