"";"Fechas";"DriveIDs";"idTemp$name"
"1";1982-02-01;"146iw7GbzWnp7mOkZh-SHVMqdCzr7u5KC";"Temperaturas1982-02-01.tif"
"2";2020-01-01;"13cMdZBGIxPcHQN1Fay-VS_vpXEq-uz53";"Temperaturas2020-01-01.tif"
"3";2019-12-01;"1Rt6PlGnFUWm2jhGzI4N3ZLssOWaJacRd";"Temperaturas2019-12-01.tif"
"4";2019-11-01;"1Mof6RhrhpVE9Z3KpbWdIPmNbvvvQIIUr";"Temperaturas2019-11-01.tif"
"5";2019-10-01;"1zEDYr1WQrVm3OxolstMd3tPs-IaYvCHH";"Temperaturas2019-10-01.tif"
"6";2019-09-01;"1sRw72ltV4ZFglxwLCepDGdzHGn3kDINq";"Temperaturas2019-09-01.tif"
"7";2019-08-01;"13a-lmoZ_bZkYXRhm6gojkuOSUyBPAjXO";"Temperaturas2019-08-01.tif"
"8";2019-07-01;"1jyb4R2cYz0jtx-9yyORg_mAe9mJR66tz";"Temperaturas2019-07-01.tif"
"9";2019-06-01;"1TGI7OsYeL0Vnv4nBnv0fbvdXOca6Gr7S";"Temperaturas2019-06-01.tif"
"10";2019-05-01;"196Lbw_PZpI_XK_zR-U3vujVEt4P1TBet";"Temperaturas2019-05-01.tif"
"11";2019-04-01;"1CKijOTHbyWAlhNc1P2Qg1sxVm14hVhrl";"Temperaturas2019-04-01.tif"
"12";2019-03-01;"1WUhXWtuJQ8kebUV0dBi1bRE_JlP-sqe0";"Temperaturas2019-03-01.tif"
"13";2019-02-01;"1HlL9CeqW7VDzFkwxWoS3mwrA6x9QqBjO";"Temperaturas2019-02-01.tif"
"14";2019-01-01;"1IajYkbnlpK_MbmoSegssAGSAGU5xW_AN";"Temperaturas2019-01-01.tif"
"15";2018-12-01;"1SAgGxto2u7FBts81PdtuWFtGsMYig48f";"Temperaturas2018-12-01.tif"
"16";2018-11-01;"1vf_NeMyvKISeP3DWsuUy3abnBpJ9Rtyv";"Temperaturas2018-11-01.tif"
"17";2018-10-01;"1k5CatM8f_vNhpddUyOWMp8U2XWRAdohs";"Temperaturas2018-10-01.tif"
"18";2018-09-01;"1OZ2-E5Pe-7ATtKmUggqK-NiLOvn9g1H_";"Temperaturas2018-09-01.tif"
"19";2018-08-01;"1Kf7vUmAsy1CLiUaZptCJtwD-1oeWw4il";"Temperaturas2018-08-01.tif"
"20";2018-07-01;"1v4dtd8v9y1uG0jdBWToAvziXrSO3ovWJ";"Temperaturas2018-07-01.tif"
"21";2018-06-01;"1Ssoofb5hPDA25ZccaxBuXUGZI664SDaN";"Temperaturas2018-06-01.tif"
"22";2018-05-01;"1fLWUwv_UXk5tl_0-X59B6oGSH_uXTPHU";"Temperaturas2018-05-01.tif"
"23";2018-04-01;"1RRqUsvcMzP3IEwQJTocrSMiCLZUFcPkq";"Temperaturas2018-04-01.tif"
"24";2018-03-01;"12d0CG-OQlsGyGlvmg6Q_f4RRCwsEshmb";"Temperaturas2018-03-01.tif"
"25";2018-02-01;"1sVFuBtsSDDyyYRfFJ0CM2GyWx3WRF-Jy";"Temperaturas2018-02-01.tif"
"26";2018-01-01;"1kYOz4MGzdUeED5xu_ChiZyYPV6iy0291";"Temperaturas2018-01-01.tif"
"27";2017-12-01;"1gGeulYLdqQK54E2IVV8QZMem8aJJFYv6";"Temperaturas2017-12-01.tif"
"28";2017-11-01;"1kZ-EOPUQWvMppgSX5DW9I-33jLu-n6Sq";"Temperaturas2017-11-01.tif"
"29";2017-10-01;"1REVrwZ8bSsmLrGaPqKuELcsBmTF5mhLT";"Temperaturas2017-10-01.tif"
"30";2017-09-01;"1HE1R9ceRCEMZd0IvFPebsO7flEy_ZvW5";"Temperaturas2017-09-01.tif"
"31";2017-08-01;"1Qs13sfza0zLUEgAxvwBWpp10tAtQNdZ9";"Temperaturas2017-08-01.tif"
"32";2017-07-01;"1GDbSKNcc4t5CcxpuRHguB3XHgBM1PM9-";"Temperaturas2017-07-01.tif"
"33";2017-06-01;"1XOR9twSg2AxK73s0E-CYNa2Refa-mSIG";"Temperaturas2017-06-01.tif"
"34";2017-05-01;"1C0wMZu38ZRII_7r58yPsAitgr_NYvw-P";"Temperaturas2017-05-01.tif"
